,rawData,additive,description
872,"Oleic acid- MISC, REG, GMP - In foods as a lubricant, binder, & defoaming agent & as comp in mfr of other ""food grade"" additives - 172.840, 172.860, 172.863; CTG, GMP, fresh citrus fruit, 172.210; MISC, REG, < 1.0 ppm in flume water - Used in flume water for washing sugar beets prior to slicing operation - 173.315; GRAS, GMP, substance migrating from cotton in dry food pkg - 182.70; GRAS, GMP, sub­stance migrating to food from paper pdts - 182.90",Oleic acid,"MISC, REG, GMP - In foods as a lubricant, binder, & defoaming agent & as comp in mfr of other ""food grade"" additives - 172.840, 172.860, 172.863; CTG, GMP, fresh citrus fruit, 172.210; MISC, REG, < 1.0 ppm in flume water - Used in flume water for washing sugar beets prior to slicing operation - 173.315; GRAS, GMP, substance migrating from cotton in dry food pkg - 182.70; GRAS, GMP, sub­stance migrating to food from paper pdts - 182.90"
873,"Oleic acid derived from tall oil fatty acids- MISC, REG, GMP - As a comp in mfr of food-grade additives - 172.862; CTG, GMP, on fresh citrus fruit, 172.210; AF, GMP, in processing beet sugar & yeast - 173.340",Oleic acid derived from tall oil fatty acids,"MISC, REG, GMP - As a comp in mfr of food-grade additives - 172.862; CTG, GMP, on fresh citrus fruit, 172.210; AF, GMP, in processing beet sugar & yeast - 173.340"
874,"Olestra- REG, May be used in place of fats and oils in prepackaged ready-to-eat savory snacks, and prepackaged, unpopped popcorn kernels that are ready-to-heat. In such foods, the additive may be used in place of fats and oils for frying or baking, in dough conditioners, in sprays, in filling ingredients, or in flavors - 172.867",Olestra,"REG, May be used in place of fats and oils in prepackaged ready-to-eat savory snacks, and prepackaged, unpopped popcorn kernels that are ready-to-heat. In such foods, the additive may be used in place of fats and oils for frying or baking, in dough conditioners, in sprays, in filling ingredients, or in flavors - 172.867"
875,"Olibanum oil- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510",Olibanum oil,"FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
876,"Onion- ESO, GRAS - 182.20",Onion,"ESO, GRAS - 182.20"
877,"Opopanax- FL/ADJ, REG, GMP, In conjunction w/flavors 172.510",Opopanax,"FL/ADJ, REG, GMP, In conjunction w/flavors 172.510"
878,"Orange-bitter, flowers, peel-ESO, GRAS - 182.20","Orange-bitter, flowers, peel-ESO, GRAS",182.20
879,"Orange-sweet, leaf, flower, peel- ESO, GRAS - 182.20","Orange-sweet, leaf, flower, peel","ESO, GRAS - 182.20"
880,"Oregano (origanum, Mexican oregano, Mexican sage, origan)- SP, GRAS - 182.10","Oregano (origanum, Mexican oregano, Mexican sage, origan)","SP, GRAS - 182.10"
881,"Origanum- ESO, GRAS - 182.20",Origanum,"ESO, GRAS - 182.20"
882,"Ormetoprim (2,4-Diamino-5(6-methylveratryl)pyrimi-dine)- FEED, REG, 0.1 ppm - As res in edible tissues of chickens, ducks, turkeys, salmonids & catfish - 556.490; Use in animal feed w/sulfadimethoxine - 558.575","Ormetoprim (2,4-Diamino-5(6-methylveratryl)pyrimi-dine)","FEED, REG, 0.1 ppm - As res in edible tissues of chickens, ducks, turkeys, salmonids & catfish - 556.490; Use in animal feed w/sulfadimethoxine - 558.575"
883,"Orris root -FL/ADJ, REG, GMP, In conjunction w/flavors -172.510","Orris root -FL/ADJ, REG, GMP, In conjunction w/flavors -172.510",
884,"Ox bile extract- EMUL, GRAS, GMP, < 0.002% cheese -184.1560",Ox bile extract,"EMUL, GRAS, GMP, < 0.002% cheese -184.1560"
885,"Oxides of nitrogen- BL, FS, GMP, Part 137, Cereal Flours",Oxides of nitrogen,"BL, FS, GMP, Part 137, Cereal Flours"
886,"Oxfendazol- VET, REG, Use: As suspension for cattle -520.1630; 0.8 ppm - As res in cattle; liver (target tissue) -556.495",Oxfendazol,"VET, REG, Use: As suspension for cattle -520.1630; 0.8 ppm - As res in cattle; liver (target tissue) -556.495"
887,"Oxystearin- INH, REG, 0.125% comb wt of oil, plus the additive - In cottonseed & soybean cooking & salad oils -172.818; INH, REG/FS, Part 169, Dressings for Foods; AF, REG, GMP, Comp of defoamer - 173.340",Oxystearin,"INH, REG, 0.125% comb wt of oil, plus the additive - In cottonseed & soybean cooking & salad oils -172.818; INH, REG/FS, Part 169, Dressings for Foods; AF, REG, GMP, Comp of defoamer - 173.340"
888,"Oxytetracycline- FEED/VET, REG, 3 ppm - As res in uncooked kidneys of chickens & turkeys - 556.500; 1 ppm -In uncooked muscle, liver, fat & skin of chickens & turkeys as res - 556.500; 0.1 ppm neg res - In uncooked edible tissues of salmonids, catfish, & lobsters as res - 556.500; 0.1 ppm neg res - In uncooked edible tissue of swine & beef cattle as res - 556.500; For feed uses, see: 558.450, 558.515, Injection - 522.1660; For use in drinking water of chickens in combination with Carbomycin -520.1660a; For use in tabs in cattle - 520.1660c; Use: As soluble powder - 520.1660d",Oxytetracycline,"FEED/VET, REG, 3 ppm - As res in uncooked kidneys of chickens & turkeys - 556.500; 1 ppm -In uncooked muscle, liver, fat & skin of chickens & turkeys as res - 556.500; 0.1 ppm neg res - In uncooked edible tissues of salmonids, catfish, & lobsters as res - 556.500; 0.1 ppm neg res - In uncooked edible tissue of swine & beef cattle as res - 556.500; For feed uses, see: 558.450, 558.515, Injection - 522.1660; For use in drinking water of chickens in combination with Carbomycin -520.1660a; For use in tabs in cattle - 520.1660c; Use: As soluble powder - 520.1660d"
889,"Ozone- STERL, REG, GMP (< 0.4 mg/1l bottled water), Sterilizing bottled water - 184.1563 For use as an antimicrobial agent in the treatment, storage, and processing of foods, including meat and poultry - 173.368.",Ozone,"STERL, REG, GMP (< 0.4 mg/1l bottled water), Sterilizing bottled water - 184.1563 For use as an antimicrobial agent in the treatment, storage, and processing of foods, including meat and poultry - 173.368."
890,"P-4000 (5-nitro-2-n-propoxyaniline) - NNS, ILL - Not legal in food - 189.175",P-4000 (5-nitro-2-n-propoxyaniline),"NNS, ILL - Not legal in food - 189.175"
891,"Palmarosa- ESO, GRAS - 182.20",Palmarosa,"ESO, GRAS - 182.20"
892,"Palmitic acid- MISC, REG, GMP - In foods as a lubricant, binder, & defoaming agent & as comp in mfr of other ""food grade"" additives - 172.860; CTG, GMP, fresh citrus fruit, 172.210; AF, GMP, in the processing of foods - 173.340",Palmitic acid,"MISC, REG, GMP - In foods as a lubricant, binder, & defoaming agent & as comp in mfr of other ""food grade"" additives - 172.860; CTG, GMP, fresh citrus fruit, 172.210; AF, GMP, in the processing of foods - 173.340"
893,"Pansy- FL/ADJ, REG, GMP, In alcoholic beverages only -172.510",Pansy,"FL/ADJ, REG, GMP, In alcoholic beverages only -172.510"
894,"D-Pantothenamide- NUTR, REG, GMP, In foods for sp diet use - 172.335",D-Pantothenamide,"NUTR, REG, GMP, In foods for sp diet use - 172.335"
895,"D-Panthothenyl alcohol- NUTR/DS, GRAS, GMP - 82.5580",D-Panthothenyl alcohol,"NUTR/DS, GRAS, GMP - 82.5580"
896,"Papain- MISC, GRAS/FS, GMP - 184.1585; 137.305 ­Enriched Farina; Part 136 - Enriched Bread; Part 582.1585 - Animal feeds",Papain,"MISC, GRAS/FS, GMP - 184.1585; 137.305 ­Enriched Farina; Part 136 - Enriched Bread; Part 582.1585 - Animal feeds"
897,"Paprika- SP/ESO, GRAS - 182.10; color additive, GMP -73.340",Paprika,"SP/ESO, GRAS - 182.10; color additive, GMP -73.340"
898,"Paprika oleoresin- ESO, GRAS - 182.20; color additive, GMP -73.345",Paprika oleoresin,"ESO, GRAS - 182.20; color additive, GMP -73.345"
899,"Paraffin wax (X-ref: Wax)- MISC, REG, Comp of chewing gum base - 172.615",Paraffin wax (X-ref: Wax),"MISC, REG, Comp of chewing gum base - 172.615"
900,"Parsley- SP/ESO, GRAS - 182.20",Parsley,"SP/ESO, GRAS - 182.20"
901,"Passion flower- FL/ADJ, REG, GMP - In conjunction w/flavors - 172.510",Passion flower,"FL/ADJ, REG, GMP - In conjunction w/flavors - 172.510"
902,"Patchouly- FL/ADJ, REG, GMP, In conjunction w/flavors -172.510",Patchouly,"FL/ADJ, REG, GMP, In conjunction w/flavors -172.510"
903,"Peach kernel (persic oil)- NAT, SP/FL/ADJ, GRAS -182.40",Peach kernel (persic oil),"NAT, SP/FL/ADJ, GRAS -182.40"
904,"Peach leaves- FL/ADJ, REG, GMP, In alcoholic beverages only, < 25 ppm prussic acid in the flavor - 172.510",Peach leaves,"FL/ADJ, REG, GMP, In alcoholic beverages only, < 25 ppm prussic acid in the flavor - 172.510"
905,"Peanut oil- GRAS, GMP, substance migrating from cotton in dried food pkg - 182.70",Peanut oil,"GRAS, GMP, substance migrating from cotton in dried food pkg - 182.70"
906,"Peanut stearine- NAT, SP/FL/ADJ, GRAS - 182.40",Peanut stearine,"NAT, SP/FL/ADJ, GRAS - 182.40"
907,"Pectins (including pectin modified)- EMUL, STAB, GRAS, GMP - 184.1588; sodium methyl sulfate may be present in pectins < 0.1%, 173.385; Part 145, Cnd Fruit; Part 150, Fruit Butters, Jellies & Preserves",Pectins (including pectin modified),"EMUL, STAB, GRAS, GMP - 184.1588; sodium methyl sulfate may be present in pectins < 0.1%, 173.385; Part 145, Cnd Fruit; Part 150, Fruit Butters, Jellies & Preserves"
908,"Pelargonic acid- MISC, REG, < 1.0% aliphatic acids - In peeling solution for fruits & vegs - 173.315",Pelargonic acid,"MISC, REG, < 1.0% aliphatic acids - In peeling solution for fruits & vegs - 173.315"
909,"Penicillin- FEED/VET, REG, 0.05 ppm neg res - Res in uncooked edible tissue of cattle - 556.510; ZERO - Res in uncooked edible tissues of chickens, pheasants, quail, sheep & swine; In eggs & in milk or in processed food in which milk has been used - 556.510; 0.01 ppm - Res in uncooked edible tissues of turkeys - do; For feed uses, see: 558.55, 558.58, 558.62, 558.76, 558.78, 558.105, 558.274, 558.505; Other - 520.1660, 522.1662",Penicillin,"FEED/VET, REG, 0.05 ppm neg res - Res in uncooked edible tissue of cattle - 556.510; ZERO - Res in uncooked edible tissues of chickens, pheasants, quail, sheep & swine; In eggs & in milk or in processed food in which milk has been used - 556.510; 0.01 ppm - Res in uncooked edible tissues of turkeys - do; For feed uses, see: 558.55, 558.58, 558.62, 558.76, 558.78, 558.105, 558.274, 558.505; Other - 520.1660, 522.1662"
910,"Penicillium roquefortii- MISC, FS, Part 133 - Cheeses",Penicillium roquefortii,"MISC, FS, Part 133 - Cheeses"
911,"Pennyroyal (American)- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510",Pennyroyal (American),"FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
912,"Pennyroyal (European)- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510",Pennyroyal (European),"FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
913,"Pentaerythritol ester of maleic anhydride modified wood rosin- CTG, REG, GMP, Coating on fresh citrus fruit - 172.210",Pentaerythritol ester of maleic anhydride modified wood rosin,"CTG, REG, GMP, Coating on fresh citrus fruit - 172.210"
914,Pentaerythritol ester of rosin- X-ref - Rosin,Pentaerythritol ester of rosin,X-ref - Rosin
915,"Pepper, black, white- SP/ESO, GRAS - 182.10, 182.20","Pepper, black, white","SP/ESO, GRAS - 182.10, 182.20"
916,"Pepper, cayenne, red- SP, GRAS - 182.10","Pepper, cayenne, red","SP, GRAS - 182.10"
917,"Peppermint- SP/ESO, GRAS - 182.10, 182.20",Peppermint,"SP/ESO, GRAS - 182.10, 182.20"
918,"Pepsin- ENZ, < 0.1% by wt in Enriched Farina - 137.305",Pepsin,"ENZ, < 0.1% by wt in Enriched Farina - 137.305"
919,"Peptones- NUTR/SUPPL, GRAS, GMP, Processing aid & surface acting agent - 184.1553",Peptones,"NUTR/SUPPL, GRAS, GMP, Processing aid & surface acting agent - 184.1553"
920,"Peracetic acid- MISC, REG, Modifier for food starch, < 0.45% of active oxygen - 172.892; SANI, < 200 ppm -178.1010",Peracetic acid,"MISC, REG, Modifier for food starch, < 0.45% of active oxygen - 172.892; SANI, < 200 ppm -178.1010"
921,"Perfluorohexane- MISC, REG, GMP, Mixture containing 1% perfluorohexane used to cool or freeze chickens -173.342",Perfluorohexane,"MISC, REG, GMP, Mixture containing 1% perfluorohexane used to cool or freeze chickens -173.342"
922,"Periodic acid- MISC, GMP, Fixing agent for the immobilization of enzyme preparations - 173.357",Periodic acid,"MISC, GMP, Fixing agent for the immobilization of enzyme preparations - 173.357"
923,"Peroxyacetic acid- MISC, REG, For washing fruits and vegetables that are not raw agricultural commodities at levels < 80 ppm in wash water - 173.315",Peroxyacetic acid,"MISC, REG, For washing fruits and vegetables that are not raw agricultural commodities at levels < 80 ppm in wash water - 173.315"
924,"Peroxyacids-REG, Antimicrobial agent on red meat carcasses, parts, trim, and organs with maximum concentration of 220 ppm as peroxyacetic acid and maximum concentration of hydrogen peroxide of 75 ppm. - 173.370","Peroxyacids-REG, Antimicrobial agent on red meat carcasses, parts, trim, and organs with maximum concentration of 220 ppm as peroxyacetic acid and maximum concentration of hydrogen peroxide of 75 ppm.",173.370
925,"Persic oil (see apricot/peach kernel oil)- NAT, SP/FL/ADJ, GRAS - 182.40",Persic oil (see apricot/peach kernel oil),"NAT, SP/FL/ADJ, GRAS - 182.40"
926,"Peruvian balsam- ESO, GRAS - 182.20",Peruvian balsam,"ESO, GRAS - 182.20"
927,"Petigrain (citrus aurantium) lemon, mandarin, or tangerine- ESO, GRAS - 182.20","Petigrain (citrus aurantium) lemon, mandarin, or tangerine","ESO, GRAS - 182.20"
928,"Petrolatum NF & USP- FEED, REG, 3.0% in mineral suppls or 0.06% in total ration - In animal feeds & mineral suppls to reduce dustiness & lubricant in pelleting, cubing or blocking feeds alone or comb/w white mineral oil - 573.720; CTG, REG, GMP, Coating for raw fruits & vegs - 172.880; AF, REG, in yeast & beet sugar - Comp of defoaming agent - 173.340;MISC, REG, < 0.2% - Release agent in confectionery - 172.880; < 0.15% - In bakery pdt as a release agent & lubricant, alone or comb/w white mineral oil - do; < 0.1% - In egg white solids from use as a release agent in drying pans - do; < 0.02% - In dr fruits & vegs from use as a release agent in drying pans - do",Petrolatum NF & USP,"FEED, REG, 3.0% in mineral suppls or 0.06% in total ration - In animal feeds & mineral suppls to reduce dustiness & lubricant in pelleting, cubing or blocking feeds alone or comb/w white mineral oil - 573.720; CTG, REG, GMP, Coating for raw fruits & vegs - 172.880; AF, REG, in yeast & beet sugar - Comp of defoaming agent - 173.340;MISC, REG, < 0.2% - Release agent in confectionery - 172.880; < 0.15% - In bakery pdt as a release agent & lubricant, alone or comb/w white mineral oil - do; < 0.1% - In egg white solids from use as a release agent in drying pans - do; < 0.02% - In dr fruits & vegs from use as a release agent in drying pans - do"
929,"Petroleum hydrocarbons (Synthetic isoparaffinic)MISC, REG, GMP, As ctg on shell eggs - 172.882; In froth-flotation cleaning of vegs - do; As a float on fermentation fluid as in mfr of vinegar, wine & pickle brine - do; As a comp of ctg of fruits & vegs - 172.882; AF, REG, Comp of defoaming agent in yeast & beet sugar - 173.340; SOLV, REG, GMP (< 0.47 ppm of citric acid) comp solv for extraction of citric acid from Aspergillus niger fermentation;","Petroleum hydrocarbons (Synthetic isoparaffinic)MISC, REG, GMP, As ctg on shell eggs","172.882; In froth-flotation cleaning of vegs - do; As a float on fermentation fluid as in mfr of vinegar, wine & pickle brine - do; As a comp of ctg of fruits & vegs - 172.882; AF, REG, Comp of defoaming agent in yeast & beet sugar - 173.340; SOLV, REG, GMP (< 0.47 ppm of citric acid) comp solv for extraction of citric acid from Aspergillus niger fermentation;"
930,"Petroleum hydrocarbons, odorless, light- AF, REG, GMP, As defoamer in processing beet sugar & yeast -172.884, 173.340; MISC, REG, < 1.0 ppm - In modified hop extract of beer - 172.560; MISC, REG, GMP, As a float on fermentation fluids in mfr of vinegar & wine; In froth-floatation cleaning of vegs; As ctg on shell eggs - 172.884; In pest formulations - 172.884, 573.740","Petroleum hydrocarbons, odorless, light","AF, REG, GMP, As defoamer in processing beet sugar & yeast -172.884, 173.340; MISC, REG, < 1.0 ppm - In modified hop extract of beer - 172.560; MISC, REG, GMP, As a float on fermentation fluids in mfr of vinegar & wine; In froth-floatation cleaning of vegs; As ctg on shell eggs - 172.884; In pest formulations - 172.884, 573.740"
931,"Petroleum naphtha- SOLV, REG, GMP, Ctg on fresh citrus -172.210, 172.250",Petroleum naphtha,"SOLV, REG, GMP, Ctg on fresh citrus -172.210, 172.250"
932,"Petroleum wax - AF, REG, in beet sugar & yeast, 173.340; MISC, REG, GMP, In chewing gum base & in other foods -172.615, 172.886; CTG, REG, GMP, Coating on cheese & fruits & vegs, 172.886; MISC, REG, < 50% of total wt of capsule & flavor - Comp of microcapsule for spice flavor for frozen pizza - 172.230, 172.886",Petroleum wax,"AF, REG, in beet sugar & yeast, 173.340; MISC, REG, GMP, In chewing gum base & in other foods -172.615, 172.886; CTG, REG, GMP, Coating on cheese & fruits & vegs, 172.886; MISC, REG, < 50% of total wt of capsule & flavor - Comp of microcapsule for spice flavor for frozen pizza - 172.230, 172.886"
933,"Petroleum wax, synthetic- CTG, REG, GMP, On cheese & raw fruits & vegs - 172.888; MISC, REG, GMP, In chewing gum base - 172.615, 172.888; AF, REG, in beet sugar & yeast - Comp of defoaming agent - 173.340","Petroleum wax, synthetic","CTG, REG, GMP, On cheese & raw fruits & vegs - 172.888; MISC, REG, GMP, In chewing gum base - 172.615, 172.888; AF, REG, in beet sugar & yeast - Comp of defoaming agent - 173.340"
934,"Phenol-formaldehyde, cross-linked, tetraethylenepentamine activated- Ion exchange resin for treatment of food or potable water - 173.25","Phenol-formaldehyde, cross-linked, tetraethylenepentamine activated",Ion exchange resin for treatment of food or potable water - 173.25
935,"Phenol-formaldehyde, cross-linked, triethylenetetramine activated- Ion exchange resin for treatment of food or potable water - 173.25","Phenol-formaldehyde, cross-linked, triethylenetetramine activated",Ion exchange resin for treatment of food or potable water - 173.25
